@RELATION INCRARR_1_100_complete
@ATTRIBUTE a_1 NUMERIC
@ATTRIBUTE a_2 NUMERIC
@ATTRIBUTE a_3 NUMERIC
@ATTRIBUTE a_4 NUMERIC
@ATTRIBUTE a_5 NUMERIC
@ATTRIBUTE a_6 NUMERIC
@ATTRIBUTE a_7 NUMERIC
@ATTRIBUTE a_8 NUMERIC
@ATTRIBUTE a_9 NUMERIC
@ATTRIBUTE a_10 NUMERIC
@ATTRIBUTE a_11 NUMERIC
@ATTRIBUTE a_12 NUMERIC
@ATTRIBUTE a_13 NUMERIC
@ATTRIBUTE a_14 NUMERIC
@ATTRIBUTE a_15 NUMERIC
@ATTRIBUTE a_16 NUMERIC
@ATTRIBUTE a_17 NUMERIC
@ATTRIBUTE a_18 NUMERIC
@ATTRIBUTE a_19 NUMERIC
@ATTRIBUTE a_20 NUMERIC
@ATTRIBUTE a_21 NUMERIC
@ATTRIBUTE a_22 NUMERIC
@ATTRIBUTE a_23 NUMERIC
@ATTRIBUTE a_24 NUMERIC
@ATTRIBUTE a_25 NUMERIC
@ATTRIBUTE a_26 NUMERIC
@ATTRIBUTE a_27 NUMERIC
@ATTRIBUTE a_28 NUMERIC
@ATTRIBUTE a_29 NUMERIC
@ATTRIBUTE a_30 NUMERIC
@ATTRIBUTE a_31 NUMERIC
@ATTRIBUTE a_32 NUMERIC
@ATTRIBUTE a_33 NUMERIC
@ATTRIBUTE a_34 NUMERIC
@ATTRIBUTE a_35 NUMERIC
@ATTRIBUTE a_36 NUMERIC
@ATTRIBUTE a_37 NUMERIC
@ATTRIBUTE a_38 NUMERIC
@ATTRIBUTE a_39 NUMERIC
@ATTRIBUTE a_40 NUMERIC
@ATTRIBUTE a_41 NUMERIC
@ATTRIBUTE a_42 NUMERIC
@ATTRIBUTE a_43 NUMERIC
@ATTRIBUTE a_44 NUMERIC
@ATTRIBUTE a_45 NUMERIC
@ATTRIBUTE a_46 NUMERIC
@ATTRIBUTE a_47 NUMERIC
@ATTRIBUTE a_48 NUMERIC
@ATTRIBUTE a_49 NUMERIC
@ATTRIBUTE a_50 NUMERIC
@ATTRIBUTE a_51 NUMERIC
@ATTRIBUTE a_52 NUMERIC
@ATTRIBUTE a_53 NUMERIC
@ATTRIBUTE a_54 NUMERIC
@ATTRIBUTE a_55 NUMERIC
@ATTRIBUTE a_56 NUMERIC
@ATTRIBUTE a_57 NUMERIC
@ATTRIBUTE a_58 NUMERIC
@ATTRIBUTE a_59 NUMERIC
@ATTRIBUTE a_60 NUMERIC
@ATTRIBUTE a_61 NUMERIC
@ATTRIBUTE a_62 NUMERIC
@ATTRIBUTE a_63 NUMERIC
@ATTRIBUTE a_64 NUMERIC
@ATTRIBUTE a_65 NUMERIC
@ATTRIBUTE a_66 NUMERIC
@ATTRIBUTE a_67 NUMERIC
@ATTRIBUTE a_68 NUMERIC
@ATTRIBUTE a_69 NUMERIC
@ATTRIBUTE a_70 NUMERIC
@ATTRIBUTE a_71 NUMERIC
@ATTRIBUTE a_72 NUMERIC
@ATTRIBUTE a_73 NUMERIC
@ATTRIBUTE a_74 NUMERIC
@ATTRIBUTE a_75 NUMERIC
@ATTRIBUTE a_76 NUMERIC
@ATTRIBUTE a_77 NUMERIC
@ATTRIBUTE a_78 NUMERIC
@ATTRIBUTE a_79 NUMERIC
@ATTRIBUTE a_80 NUMERIC
@ATTRIBUTE a_81 NUMERIC
@ATTRIBUTE class  {bathtub,bed,chair,desk,dresser,monitor,night_stand,sofa,table,toilet}
@DATA
0.000153874,0.000133846,0.000192436,0.000249862,0.000291297,0.000438845,0.000161801,0.00013386,0.000171014,0.000139228,0.000101659,0.000182016,0.000300567,0.000397121,0.000571974,0.000149844,0.000104761,0.000163888,0.000153696,0.000134071,0.000192424,0.000249948,0.000291852,0.000439743,0.000161403,0.00013341,0.000171127,3.73822,3.78562,3.62376,3.39693,3.30859,3.15772,3.70445,3.77948,3.68182,3.77736,3.93919,3.64973,3.24914,3.06107,2.84871,3.73782,3.91623,3.70402,3.73809,3.78545,3.62348,3.3966,3.30802,3.15707,3.70542,3.78045,3.68164,0.00042497,0.00072003,0.000429605,0.000573875,0.00113103,0.000570549,0.000419774,0.000720109,0.000434551,0.00068651,0.00316151,0.000694844,0.00106096,0.00460107,0.000937282,0.000666641,0.00305085,0.000709738,0.00042481,0.000719422,0.000429427,0.000573799,0.00113121,0.000570645,0.000419903,0.00072063,0.000434684,bathtub
0.000120472,9.46124e-05,0.000124253,0.000240033,0.000221477,0.000266263,0.000118738,9.11533e-05,0.000121297,0.000129792,0.000110335,0.000148296,0.00037648,0.000344619,0.000474331,0.000130436,9.6311e-05,0.000151046,0.000118399,9.07607e-05,0.00012001,0.000236339,0.000209322,0.000249326,0.000121026,9.12328e-05,0.000119901,3.87032,3.99308,3.86373,3.4622,3.53809,3.42244,3.8789,4.00388,3.87474,3.81602,3.96057,3.78712,3.08434,3.19612,3.00647,3.81895,3.99086,3.7939,3.87845,3.99632,3.87684,3.46726,3.55084,3.45382,3.87065,3.99844,3.87638,0.000429231,0.000840152,0.000429957,0.000544282,0.00118213,0.000540256,0.000431099,0.000848151,0.00043197,0.000665759,0.00534221,0.000665213,0.000860542,0.0038129,0.000838894,0.000665238,0.0051713,0.000672139,0.000431198,0.000834863,0.000432942,0.00054329,0.00115651,0.000545646,0.000427998,0.000823934,0.000432704,bathtub
0.000181357,0.000131807,0.000191496,0.000271997,0.00027784,0.000694875,0.000163643,0.000123283,0.000172159,0.000164583,9.75179e-05,0.000181679,0.000335382,0.000417905,0.000844377,0.000153108,9.07142e-05,0.000163353,0.000181514,0.000131607,0.000190552,0.000272828,0.000278181,0.000698049,0.000163329,0.000123106,0.000171583,3.60225,3.77313,3.60975,3.30432,3.35461,2.90754,3.671,3.81874,3.65059,3.67226,3.94589,3.62738,3.1745,3.01754,2.50514,3.73104,3.97708,3.66713,3.60187,3.77373,3.61072,3.30075,3.3541,2.9079,3.67235,3.81931,3.65242,0.000417289,0.00073487,0.000429044,0.000567444,0.00122713,0.00056583,0.000422854,0.000746159,0.000427627,0.000652056,0.00447769,0.000679934,0.00100391,0.00433175,0.000897406,0.000666185,0.00378483,0.000668274,0.000417107,0.000733816,0.000428797,0.000567556,0.00122756,0.000565824,0.000423188,0.000746913,0.00042775,bathtub
0.000144868,0.000130244,0.000158723,0.000232833,0.000296461,0.000318396,0.000144706,0.000130239,0.000158823,0.000140687,9.47618e-05,0.000146817,0.000319402,0.000452822,0.000453035,0.000140759,9.46305e-05,0.000147234,0.000152864,0.000128521,0.000149162,0.000242436,0.000306921,0.00028427,0.000153135,0.000129215,0.000149369,3.75656,3.7925,3.71089,3.5053,3.42985,3.31611,3.75635,3.7922,3.71095,3.78443,3.97055,3.75532,3.28173,3.01041,3.03664,3.78376,3.97079,3.75505,3.72093,3.79002,3.73271,3.43962,3.37785,3.4196,3.72009,3.78832,3.73099,0.000428641,0.000742685,0.000426065,0.000583529,0.00129209,0.000572454,0.000428574,0.000742806,0.000426101,0.000673232,0.00450258,0.000666689,0.000998009,0.00445423,0.000950903,0.000673089,0.0045152,0.000666846,0.000421634,0.00071596,0.000430025,0.000578006,0.00134369,0.000648063,0.000421526,0.000716152,0.000429517,bathtub
9.44328e-05,7.46914e-05,0.000105248,0.000184589,0.000171528,0.000211662,0.000110239,8.04565e-05,0.000103402,0.000118684,0.000107316,0.000139531,0.000310344,0.000406353,0.000486916,0.00013161,0.000121445,0.000130129,9.55004e-05,7.59604e-05,0.00010759,0.000180375,0.000170989,0.000213635,0.000104876,7.90335e-05,0.00010272,3.98165,4.09581,3.9549,3.6164,3.6988,3.57259,3.91784,4.07253,3.95729,3.86066,3.99178,3.81749,3.25966,3.13363,2.9556,3.81776,3.95489,3.84067,3.9773,4.09188,3.9447,3.62815,3.7006,3.56462,3.94373,4.07556,3.95685,0.000444769,0.000976977,0.00043717,0.00054733,0.00133799,0.000547834,0.000422647,0.000961111,0.000450701,0.000662951,0.00497181,0.000634484,0.000825188,0.00285389,0.000764029,0.000626092,0.00578252,0.000670659,0.000440989,0.000964897,0.000438604,0.000550149,0.00132987,0.000546145,0.000432185,0.000961978,0.000445184,bathtub
0.000132305,0.000109427,0.00015663,0.000240548,0.000263738,0.000398792,0.000141,0.000110068,0.000143878,0.000129954,8.94337e-05,0.000223568,0.000298226,0.000338063,0.000670153,0.000145202,9.77518e-05,0.000159024,0.000139299,0.000108895,0.000148887,0.000254941,0.000251083,0.000342701,0.000147155,0.00010869,0.000137395,3.82353,3.92457,3.74498,3.43123,3.41901,3.16684,3.78631,3.91637,3.77721,3.8192,3.99885,3.62668,3.26242,3.17255,2.77159,3.77104,3.96775,3.7107,3.79856,3.92163,3.76756,3.39489,3.43479,3.25571,3.76273,3.9195,3.7977,0.000428471,0.000776228,0.000426884,0.000557231,0.00110432,0.000544064,0.000421553,0.00077214,0.000433473,0.000687975,0.00421997,0.000674117,0.000985528,0.00412196,0.000879989,0.000664732,0.00370577,0.000696209,0.000423986,0.000763303,0.000431077,0.000551029,0.00110116,0.000554805,0.000418291,0.000765903,0.000437591,bathtub
0.000114758,8.3083e-05,0.000120495,0.000196764,0.000159747,0.000239441,0.00011512,8.02031e-05,0.000113938,0.000148007,9.91732e-05,0.000158723,0.000383815,0.000311296,0.000556723,0.000149053,8.6363e-05,0.00014298,0.000118972,8.39465e-05,0.000119423,0.000202497,0.000144376,0.000209406,0.000118109,7.96112e-05,0.000111107,3.897,4.06959,3.88018,3.56633,3.73055,3.44066,3.90045,4.08739,3.90969,3.74029,3.98607,3.71759,3.09296,3.27873,2.85803,3.75258,4.02334,3.77417,3.88649,4.06445,3.89324,3.55492,3.76632,3.56004,3.89293,4.08505,3.92475,0.000433197,0.00100205,0.000430293,0.00055619,0.00139952,0.000542566,0.000430647,0.000997925,0.000436572,0.000630702,0.00569928,0.000622505,0.000837803,0.00389045,0.000802308,0.000624976,0.00424866,0.000639932,0.000429302,0.000955511,0.000433985,0.000549282,0.00139919,0.000554728,0.000428729,0.000966918,0.000440234,bathtub
0.000174825,0.00013059,0.000178086,0.000326374,0.000306721,0.0004358,0.000175394,0.000130883,0.000177976,0.000163988,9.26754e-05,0.000165148,0.00041789,0.000351325,0.000656238,0.000164006,9.11067e-05,0.000165192,0.000177267,0.000131959,0.000175091,0.000329505,0.000299682,0.000426853,0.000177265,0.000132092,0.000175818,3.64566,3.79661,3.63103,3.20715,3.28652,3.05688,3.64399,3.79584,3.63072,3.69525,3.97627,3.66461,3.02215,3.17014,2.72938,3.6951,3.97946,3.66533,3.63931,3.79388,3.63596,3.20505,3.29007,3.09148,3.63914,3.79395,3.63458,0.000419986,0.000726154,0.000422401,0.000560712,0.00114566,0.000556956,0.000419758,0.00072508,0.000422144,0.000664565,0.00466652,0.000669471,0.000991436,0.00800992,0.000947944,0.000664826,0.00472476,0.000669317,0.000418718,0.00072167,0.000423218,0.000559868,0.00114892,0.000563677,0.000418802,0.000721304,0.000422608,bathtub
0.000119586,8.79455e-05,0.000125312,0.000207266,0.000164562,0.000218631,0.000126533,9.47046e-05,0.000123666,0.000139868,8.91229e-05,0.000142072,0.000351651,0.000323365,0.000454921,0.000145719,8.9174e-05,0.000137646,0.00011864,8.75004e-05,0.000127753,0.000189506,0.000141501,0.000209603,0.000123742,8.98507e-05,0.000124009,3.87632,4.03387,3.87257,3.53716,3.70359,3.5376,3.85151,4.01363,3.87144,3.78146,4.01826,3.78012,3.15059,3.27412,2.9729,3.76396,4.01176,3.78547,3.89731,4.05251,3.88139,3.60031,3.79017,3.57412,3.87932,4.04132,3.88409,0.000432214,0.000954746,0.00043495,0.000559814,0.00143399,0.000566707,0.00042645,0.00096332,0.000437684,0.000637062,0.00420231,0.000633207,0.000884002,0.00429682,0.000837034,0.000628488,0.00442157,0.000639602,0.000431951,0.000888999,0.000432728,0.000570548,0.00150646,0.000567268,0.000429169,0.000885205,0.00043258,bathtub
0.000182025,0.00016634,0.000188547,0.000327189,0.000889199,0.000469992,0.000168901,0.000162619,0.000193109,0.00013313,0.000116205,0.000133771,0.000337032,0.000304262,0.000280495,0.00013181,0.000121847,0.000144014,0.000156738,0.000168141,0.000140052,0.000289178,0.000412295,0.000216916,0.000158018,0.00016646,0.000142013,3.72454,3.72692,3.63345,3.30101,2.58229,2.98523,3.754,3.74267,3.63841,3.84446,3.8975,3.84844,3.25478,3.2682,3.36363,3.85024,3.87398,3.83865,3.74463,3.71082,3.80753,3.34843,3.18278,3.53377,3.74439,3.70798,3.80109,0.000468299,0.000807304,0.00043562,0.000562211,0.000910808,0.000519323,0.000477366,0.000796554,0.000424641,0.000734226,0.00239342,0.000727528,0.00095119,0.00565365,0.00109315,0.000759247,0.00226012,0.000727636,0.000415958,0.000686694,0.000439467,0.000547002,0.0010913,0.000610793,0.000417884,0.000680554,0.000437184,bathtub
